employee_id,age,department,job_level,education,location,tenure_years,salary,performance_rating,satisfaction_score,engagement_score,attrition,attrition_reason,training_hours,promotions,hire_date
EMP00042,39,Finance,Mid,Bachelor,Boston MA,10,75476,Outstanding,1.3,1.6,0,,27,0,2017-07-20
EMP00043,43,Product,Lead,PhD,Seattle WA,14,118624,Needs Improvement,4.3,2.6,1,Better Opportunity,45,2,2011-12-24
EMP00044,48,Product,VP,PhD,Boston MA,7,205998,Exceeds Expectations,2.7,1.1,0,,21,3,2019-05-05
EMP00045,56,Marketing,Manager,Bachelor,Seattle WA,0,149718,Outstanding,3.3,1.1,0,,23,0,2017-11-01
EMP00046,42,Finance,Lead,Master,Austin TX,6,119899,Outstanding,4.0,2.5,0,,60,0,2025-02-01
EMP00047,36,Engineering,Senior,Bachelor,Austin TX,2,110599,Meets Expectations,1.2,1.1,0,,79,1,2021-04-24
EMP00048,52,HR,Mid,Bachelor,Chicago IL,3,83480,Exceeds Expectations,2.9,2.0,0,,77,5,2020-04-06
EMP00049,32,Sales,VP,PhD,Boston MA,9,193542,Outstanding,4.7,3.3,0,,25,0,2020-01-14
EMP00050,41,HR,Junior,Master,Austin TX,3,71090,Outstanding,4.1,2.4,0,,64,5,2016-09-22
EMP00051,48,Operations,Junior,Bachelor,Seattle WA,15,48458,Outstanding,2.4,4.6,0,,22,5,2021-06-27
EMP00052,56,Finance,Manager,High School,New York NY,15,135232,Meets Expectations,3.9,2.1,0,,57,1,2023-06-07
EMP00053,46,Customer Success,Manager,Master,New York NY,10,120940,Exceeds Expectations,2.3,3.0,0,,35,4,2015-04-14
EMP00054,22,Finance,Manager,PhD,Boston MA,6,122805,Meets Expectations,2.6,3.2,0,,62,3,2013-12-16
EMP00055,40,Engineering,Junior,Master,Seattle WA,7,58251,Outstanding,2.2,3.3,0,,70,2,2019-11-28
EMP00056,51,Operations,Director,Bachelor,San Francisco CA,8,160047,Needs Improvement,1.5,1.8,0,,27,5,2024-03-25
EMP00057,55,Customer Success,Senior,High School,Boston MA,9,88294,Exceeds Expectations,2.2,2.4,0,,68,1,2013-12-05
EMP00058,25,Finance,Junior,High School,Chicago IL,9,67852,Needs Improvement,3.6,4.0,0,,36,3,2023-03-28
EMP00059,43,Customer Success,Lead,PhD,Seattle WA,5,106683,Needs Improvement,4.4,1.5,0,,9,4,2021-08-21
EMP00060,31,Engineering,Mid,PhD,Seattle WA,9,67791,Meets Expectations,1.5,4.1,0,,56,2,2016-01-21
EMP00061,58,Product,Senior,Master,Boston MA,1,104976,Meets Expectations,1.4,4.1,0,,10,1,2020-11-19
EMP00062,57,HR,Mid,High School,San Francisco CA,2,70129,Exceeds Expectations,2.8,3.4,1,Work-Life Balance,36,5,2011-08-16
EMP00063,36,Customer Success,Junior,PhD,Austin TX,8,70815,Meets Expectations,3.4,4.2,0,,69,1,2016-02-07
EMP00064,31,Marketing,Senior,PhD,Austin TX,2,86954,Exceeds Expectations,2.2,4.0,0,,59,5,2020-03-13
EMP00065,47,Finance,Director,Master,Chicago IL,8,166399,Outstanding,2.8,3.4,0,,32,0,2020-03-22
EMP00066,58,Sales,Mid,PhD,Chicago IL,0,90059,Meets Expectations,2.1,1.2,0,,56,2,2019-05-07
EMP00067,49,Marketing,Manager,Bachelor,New York NY,15,122989,Needs Improvement,2.6,2.3,0,,52,5,2025-02-10
EMP00068,47,Customer Success,Senior,High School,Boston MA,1,99903,Outstanding,2.0,1.5,1,Relocation,59,3,2024-09-21
EMP00069,55,Engineering,Mid,Master,Chicago IL,11,85402,Meets Expectations,3.5,4.0,0,,16,2,2013-03-07
EMP00070,53,Customer Success,Director,Master,Chicago IL,3,150945,Meets Expectations,3.4,2.0,0,,1,4,2023-02-15
EMP00071,36,Product,Junior,Master,Seattle WA,3,60120,Exceeds Expectations,3.6,1.6,0,,61,3,2016-03-29
EMP00072,57,HR,Lead,High School,New York NY,4,117569,Meets Expectations,3.4,4.0,0,,53,2,2013-06-24
EMP00073,22,Finance,VP,Bachelor,Seattle WA,9,213791,Outstanding,3.3,5.0,0,,68,3,2020-08-30
EMP00074,57,Operations,Senior,PhD,San Francisco CA,12,99920,Meets Expectations,4.5,4.9,0,,52,0,2016-08-26
EMP00075,52,Operations,Director,PhD,Austin TX,12,162651,Meets Expectations,4.2,3.6,0,,16,4,2021-06-20
EMP00076,28,Operations,VP,Bachelor,Austin TX,14,193267,Outstanding,2.8,3.9,0,,60,2,2020-04-19
EMP00077,47,Operations,Manager,PhD,Chicago IL,2,147910,Exceeds Expectations,3.7,3.1,0,,4,4,2014-01-09
EMP00078,40,Sales,Mid,PhD,San Francisco CA,7,89470,Needs Improvement,4.9,4.0,1,Personal,38,0,2015-02-17
EMP00079,25,Engineering,Senior,Bachelor,San Francisco CA,9,96746,Meets Expectations,1.6,3.1,0,,10,4,2025-09-26
EMP00080,37,Product,Manager,Master,Boston MA,15,149911,Outstanding,1.9,3.6,0,,1,3,2018-01-14
EMP00081,56,Finance,Director,Master,Seattle WA,5,152420,Outstanding,2.4,3.4,0,,38,1,2022-10-13
EMP00082,52,Product,VP,High School,Boston MA,3,197772,Exceeds Expectations,2.4,2.2,0,,50,2,2024-12-13
EMP00083,25,Engineering,Manager,Bachelor,Boston MA,15,147290,Exceeds Expectations,2.1,4.2,0,,24,4,2019-02-19
EMP00084,30,Finance,Director,Master,Boston MA,3,179602,Needs Improvement,1.2,4.2,0,,16,0,2025-12-26
EMP00085,48,Finance,Senior,Bachelor,New York NY,5,91579,Exceeds Expectations,3.2,4.9,1,Career Growth,37,5,2016-04-17
EMP00086,29,Operations,VP,Master,Austin TX,14,192467,Outstanding,4.9,4.4,1,Career Growth,1,2,2020-09-24
EMP00087,45,Sales,Lead,PhD,Austin TX,8,124154,Meets Expectations,3.6,2.5,0,,79,4,2015-05-28
EMP00088,36,Operations,Manager,High School,San Francisco CA,2,140820,Outstanding,4.6,2.2,0,,5,0,2012-02-28
EMP00089,29,Finance,Lead,Bachelor,Seattle WA,3,112693,Outstanding,1.5,2.8,0,,12,3,2024-07-01
EMP00090,24,Product,Senior,Master,Chicago IL,11,92119,Needs Improvement,4.8,4.4,0,,45,0,2023-06-01
EMP00091,34,Product,Senior,High School,New York NY,3,112788,Needs Improvement,1.4,1.8,0,,31,1,2017-08-04
EMP00092,57,HR,Junior,High School,New York NY,6,64214,Meets Expectations,4.5,2.3,1,Compensation,16,4,2019-05-27
EMP00093,33,Finance,VP,Master,Austin TX,3,211661,Meets Expectations,1.5,2.4,0,,22,2,2026-03-04
EMP00094,48,Engineering,Mid,PhD,Chicago IL,3,89433,Needs Improvement,2.8,2.4,1,Compensation,78,0,2011-07-13
EMP00095,23,Finance,Lead,High School,Austin TX,1,120695,Outstanding,2.7,1.4,0,,41,4,2017-03-30
EMP00096,30,Marketing,Junior,PhD,Chicago IL,8,65457,Exceeds Expectations,3.2,2.3,0,,77,3,2023-07-09
EMP00097,29,Sales,VP,PhD,Seattle WA,6,204092,Outstanding,1.9,2.4,0,,12,2,2019-11-07
EMP00098,38,Product,Senior,High School,Seattle WA,11,90001,Needs Improvement,2.9,1.4,0,,12,5,2016-09-27
EMP00099,30,Operations,VP,Master,Boston MA,1,209217,Outstanding,3.2,3.7,0,,54,5,2019-06-15
EMP00100,41,Engineering,Senior,High School,New York NY,11,88394,Meets Expectations,1.9,3.6,0,,71,2,2023-03-14
EMP00101,39,Sales,VP,Master,Austin TX,7,216451,Needs Improvement,3.2,4.1,0,,23,2,2020-03-14
EMP00102,44,Finance,Senior,High School,Austin TX,0,90944,Meets Expectations,3.3,2.6,0,,67,1,2012-05-08
EMP00103,51,Product,Lead,High School,San Francisco CA,10,110157,Needs Improvement,3.9,4.1,0,,20,4,2023-11-06
EMP00104,27,Engineering,Director,Bachelor,Chicago IL,8,164519,Exceeds Expectations,2.9,2.8,0,,14,2,2011-08-04
EMP00105,40,Product,Junior,High School,San Francisco CA,15,62266,Needs Improvement,1.2,2.6,0,,38,1,2020-03-13
EMP00106,38,Marketing,VP,PhD,Chicago IL,9,200751,Meets Expectations,3.0,2.7,1,Personal,29,4,2014-05-12
EMP00107,47,Operations,Junior,PhD,Boston MA,1,59294,Outstanding,4.7,4.4,1,Personal,53,2,2017-01-11
EMP00108,23,Sales,Lead,High School,Seattle WA,10,110631,Exceeds Expectations,3.5,4.3,0,,13,1,2020-03-16
EMP00109,47,Product,Manager,High School,Chicago IL,2,132968,Meets Expectations,4.0,1.9,0,,14,4,2012-02-26
EMP00110,44,HR,VP,Bachelor,New York NY,11,213834,Needs Improvement,3.6,1.6,0,,25,1,2016-11-01
EMP00111,26,Marketing,VP,Master,Boston MA,5,215324,Outstanding,2.9,3.3,0,,40,1,2016-08-06
EMP00112,52,Customer Success,Junior,Master,Seattle WA,14,65689,Needs Improvement,2.1,1.2,0,,57,0,2011-06-06
EMP00113,40,Engineering,Senior,PhD,Chicago IL,2,106124,Outstanding,4.4,3.5,0,,70,5,2017-09-12
EMP00114,58,Engineering,Lead,High School,New York NY,6,115535,Outstanding,3.0,4.8,0,,10,4,2013-12-02
EMP00115,37,Marketing,Junior,PhD,Seattle WA,14,59398,Exceeds Expectations,3.4,2.5,0,,43,5,2025-02-10
EMP00116,43,Engineering,VP,Master,Austin TX,2,200803,Meets Expectations,3.7,2.1,1,Relocation,18,2,2015-02-10
EMP00117,47,Finance,Director,Bachelor,Boston MA,4,169498,Exceeds Expectations,1.3,3.2,0,,67,0,2013-04-02
EMP00118,45,Product,Manager,Bachelor,San Francisco CA,0,131881,Outstanding,4.8,2.4,0,,17,1,2015-10-06
EMP00119,28,Sales,Senior,Bachelor,San Francisco CA,1,106690,Outstanding,4.1,1.5,0,,23,5,2023-03-16
EMP00120,50,Marketing,Director,PhD,San Francisco CA,1,163463,Exceeds Expectations,3.9,4.9,0,,68,1,2013-10-23
EMP00121,52,Finance,VP,PhD,Chicago IL,6,202053,Exceeds Expectations,3.3,2.8,0,,67,3,2016-08-19
EMP00122,34,Marketing,VP,High School,New York NY,4,218606,Needs Improvement,3.6,4.5,0,,10,1,2024-02-28
EMP00123,54,Finance,Lead,Master,Austin TX,4,132231,Outstanding,4.8,1.9,0,,53,0,2019-01-04
EMP00124,45,Product,Manager,Master,San Francisco CA,7,132653,Needs Improvement,2.5,1.1,0,,17,0,2011-09-11
EMP00125,52,Finance,VP,High School,New York NY,4,214865,Needs Improvement,2.8,1.0,0,,27,1,2021-10-25
EMP00126,40,Product,Junior,High School,Austin TX,7,54868,Outstanding,2.0,3.6,1,Career Growth,76,4,2018-08-30
EMP00127,54,Engineering,Director,PhD,San Francisco CA,7,173545,Meets Expectations,2.7,3.5,1,Personal,10,4,2024-04-07
EMP00128,55,Operations,Junior,Master,Boston MA,0,57794,Exceeds Expectations,1.2,2.5,0,,2,2,2012-09-07
EMP00129,37,Sales,Senior,Master,Boston MA,3,110280,Exceeds Expectations,4.0,1.5,0,,22,5,2022-06-05
EMP00130,52,Customer Success,Director,Master,San Francisco CA,5,176591,Needs Improvement,3.9,4.8,1,Better Opportunity,25,0,2024-08-01
EMP00131,54,Operations,Senior,Master,New York NY,12,111719,Meets Expectations,2.0,4.0,0,,6,5,2011-09-12
EMP00132,29,Operations,Senior,Master,San Francisco CA,11,99318,Outstanding,4.0,4.6,0,,63,5,2022-05-20
EMP00133,55,Customer Success,Senior,Master,New York NY,8,111252,Meets Expectations,2.7,2.7,1,Better Opportunity,10,2,2025-05-02
EMP00134,50,Finance,Senior,PhD,New York NY,13,90460,Exceeds Expectations,2.4,1.2,0,,7,0,2012-06-06
EMP00135,54,Product,Senior,Bachelor,Austin TX,5,86020,Needs Improvement,3.4,4.1,1,Compensation,46,2,2016-09-25
EMP00136,24,Product,Manager,Bachelor,Chicago IL,4,142251,Needs Improvement,2.5,2.8,0,,46,3,2020-04-28
EMP00137,39,Operations,Director,Master,New York NY,7,153717,Needs Improvement,1.7,3.1,1,Personal,57,1,2021-03-09
EMP00138,53,Finance,Director,High School,Boston MA,6,154018,Outstanding,1.3,1.7,1,Work-Life Balance,44,5,2025-10-22
EMP00139,56,Sales,Manager,Master,Chicago IL,9,149207,Meets Expectations,1.6,3.8,0,,28,0,2020-12-15
EMP00140,30,HR,VP,Bachelor,Chicago IL,7,215898,Outstanding,2.4,3.3,0,,11,0,2022-08-01
EMP00141,52,Finance,Lead,High School,Seattle WA,13,130203,Exceeds Expectations,3.3,1.5,0,,59,5,2015-11-01
EMP00142,57,Operations,Mid,High School,Chicago IL,5,90158,Needs Improvement,2.7,4.6,0,,19,2,2022-11-27
EMP00143,42,Marketing,Mid,Master,San Francisco CA,7,76338,Needs Improvement,3.1,2.1,0,,70,2,2012-10-15
EMP00144,41,Marketing,Director,Master,Chicago IL,2,166468,Meets Expectations,3.4,3.3,0,,5,0,2024-03-28
EMP00145,58,Sales,Junior,PhD,Boston MA,8,66336,Needs Improvement,3.3,3.5,1,Relocation,37,5,2026-01-13
EMP00146,37,Finance,Lead,PhD,Seattle WA,12,114746,Outstanding,3.8,1.6,0,,26,2,2024-10-03
EMP00147,42,Marketing,Senior,Bachelor,Seattle WA,11,98065,Exceeds Expectations,2.5,3.2,1,Better Opportunity,34,3,2023-02-20
EMP00148,28,HR,Mid,Master,Chicago IL,1,74509,Meets Expectations,4.5,2.7,0,,40,1,2018-12-30
EMP00149,54,Marketing,Lead,PhD,San Francisco CA,14,121343,Outstanding,3.0,1.4,0,,27,4,2019-03-14
EMP00150,25,Operations,Junior,High School,Austin TX,9,61216,Exceeds Expectations,4.4,3.7,0,,55,1,2020-02-23
EMP00151,45,Finance,Director,Master,Austin TX,12,161991,Exceeds Expectations,1.2,3.2,1,Career Growth,64,3,2024-11-29
EMP00152,29,Finance,VP,Bachelor,San Francisco CA,4,193168,Exceeds Expectations,4.2,2.4,0,,77,4,2012-12-12
EMP00153,24,Product,Manager,Bachelor,Chicago IL,1,121275,Outstanding,2.3,2.9,1,Relocation,17,2,2026-01-24
EMP00154,47,Operations,Mid,PhD,Austin TX,9,84455,Exceeds Expectations,4.3,3.1,0,,47,2,2019-01-29
EMP00155,41,Sales,Lead,High School,Chicago IL,0,124559,Meets Expectations,4.9,4.1,0,,61,1,2012-02-18
EMP00156,37,Product,Mid,PhD,San Francisco CA,1,83761,Exceeds Expectations,1.4,1.1,0,,52,5,2022-10-30
EMP00157,54,HR,Lead,Master,Boston MA,15,133600,Meets Expectations,3.9,3.8,0,,61,4,2015-05-19
EMP00158,33,Product,Senior,PhD,San Francisco CA,14,114888,Exceeds Expectations,3.2,3.7,0,,31,2,2014-08-29
EMP00159,41,Finance,Mid,Master,New York NY,9,88098,Exceeds Expectations,3.8,2.3,0,,15,4,2018-07-20
EMP00160,44,Product,Lead,Master,Boston MA,4,114517,Outstanding,4.8,1.3,1,Career Growth,27,1,2012-01-23
EMP00161,39,Finance,Manager,Bachelor,Austin TX,4,123579,Meets Expectations,3.3,2.0,0,,12,3,2011-08-17
EMP00162,52,Operations,Director,PhD,Boston MA,3,172321,Meets Expectations,1.0,3.2,0,,60,3,2016-08-21
EMP00163,40,HR,VP,High School,San Francisco CA,10,199352,Meets Expectations,4.6,1.4,0,,53,1,2018-12-22
EMP00164,47,Engineering,VP,High School,New York NY,15,196105,Needs Improvement,4.8,4.7,0,,72,4,2023-08-01
EMP00165,40,Sales,Senior,Master,San Francisco CA,14,106014,Outstanding,3.0,4.8,0,,14,2,2013-03-14
EMP00166,51,Marketing,Director,Bachelor,Chicago IL,8,173547,Meets Expectations,3.9,4.2,0,,51,3,2026-05-03
EMP00167,47,Operations,Junior,Master,Seattle WA,3,51054,Needs Improvement,2.9,4.7,0,,30,3,2012-07-29
EMP00168,41,Finance,Senior,PhD,New York NY,0,93570,Needs Improvement,3.8,1.2,0,,20,3,2023-10-03
EMP00169,29,Finance,Director,PhD,Boston MA,9,162043,Meets Expectations,1.9,1.5,0,,77,2,2018-01-20
EMP00170,57,Product,Director,High School,Chicago IL,15,174816,Meets Expectations,3.7,1.9,0,,57,4,2015-09-15
EMP00171,58,Operations,Junior,Bachelor,New York NY,3,47023,Meets Expectations,4.6,1.8,0,,66,3,2022-08-10
EMP00172,35,Sales,Director,PhD,Seattle WA,15,152979,Meets Expectations,2.8,1.2,0,,72,0,2015-11-20
EMP00173,41,Customer Success,Director,High School,Seattle WA,0,162974,Needs Improvement,1.0,1.9,0,,44,5,2012-08-20
EMP00174,25,Sales,Manager,Master,Seattle WA,2,135468,Outstanding,2.6,4.1,1,Career Growth,48,3,2013-01-11
EMP00175,56,Sales,Director,Bachelor,Boston MA,4,171415,Outstanding,1.5,5.0,0,,28,0,2013-10-29
EMP00176,51,Engineering,Senior,Master,San Francisco CA,13,102430,Meets Expectations,1.9,2.8,0,,14,0,2014-03-15
EMP00177,23,Product,Manager,Bachelor,Boston MA,7,126752,Needs Improvement,3.4,2.8,1,Better Opportunity,51,3,2013-10-28
EMP00178,35,HR,Manager,Master,San Francisco CA,1,124591,Exceeds Expectations,2.2,4.3,0,,38,1,2025-05-21
EMP00179,41,HR,Lead,PhD,Chicago IL,8,106997,Meets Expectations,3.4,3.9,0,,63,0,2026-05-24
EMP00180,46,Operations,Director,Bachelor,San Francisco CA,10,172816,Outstanding,1.6,2.5,0,,38,5,2016-05-25
EMP00181,51,Marketing,VP,Bachelor,New York NY,1,208428,Outstanding,2.7,3.1,0,,26,2,2024-09-21
EMP00182,45,Sales,Lead,High School,San Francisco CA,2,122551,Needs Improvement,1.8,2.1,0,,75,5,2013-10-18
EMP00183,35,HR,Lead,PhD,San Francisco CA,10,114934,Needs Improvement,1.1,4.7,0,,77,5,2018-02-22
EMP00184,37,HR,Lead,Master,New York NY,10,130412,Exceeds Expectations,2.9,3.6,0,,65,3,2017-12-29
EMP00185,52,Customer Success,Junior,Bachelor,Austin TX,10,74960,Meets Expectations,2.3,1.2,0,,33,4,2022-06-11
EMP00186,31,Product,Senior,Master,Seattle WA,6,95809,Exceeds Expectations,3.3,2.0,0,,62,3,2017-11-21
EMP00187,44,Marketing,Director,High School,Austin TX,5,154586,Needs Improvement,3.0,4.7,0,,6,0,2014-12-30
EMP00188,36,Product,Mid,PhD,Boston MA,2,88172,Needs Improvement,1.9,2.8,0,,62,0,2018-01-16
EMP00189,57,Engineering,Manager,High School,Chicago IL,13,120388,Exceeds Expectations,3.9,3.1,1,Personal,55,1,2011-09-14
EMP00190,55,Sales,Junior,PhD,Austin TX,4,52896,Exceeds Expectations,3.1,4.3,1,Work-Life Balance,51,3,2015-11-17
EMP00191,36,HR,Director,High School,Seattle WA,9,172414,Needs Improvement,1.3,5.0,0,,48,3,2022-01-29
EMP00192,22,Customer Success,Junior,High School,San Francisco CA,5,47709,Needs Improvement,2.7,4.1,0,,27,5,2011-11-03
EMP00193,24,Customer Success,Senior,Bachelor,New York NY,2,107427,Needs Improvement,4.6,3.3,0,,2,1,2014-02-15
EMP00194,47,Marketing,VP,Master,Seattle WA,2,199806,Outstanding,2.0,4.3,0,,17,5,2014-04-13
EMP00195,44,Sales,Manager,Master,Austin TX,1,123200,Outstanding,4.4,2.4,0,,34,3,2026-01-12
EMP00196,44,Customer Success,Mid,Bachelor,Boston MA,12,79150,Exceeds Expectations,3.3,2.5,0,,9,0,2022-12-30
EMP00197,46,Finance,Mid,PhD,New York NY,4,89237,Exceeds Expectations,2.4,1.4,0,,34,0,2021-06-29
EMP00198,33,Marketing,Junior,Master,Chicago IL,13,59707,Needs Improvement,3.0,1.4,0,,11,4,2026-01-02
EMP00199,46,Operations,VP,Bachelor,Boston MA,0,199563,Meets Expectations,4.1,3.9,0,,48,1,2014-01-30
EMP00200,41,Marketing,Senior,PhD,Austin TX,8,101158,Exceeds Expectations,1.7,2.1,1,Work-Life Balance,32,1,2012-03-02
EMP00201,34,Customer Success,Manager,Master,Seattle WA,14,123505,Outstanding,1.0,2.6,1,Work-Life Balance,55,5,2018-09-01
EMP00202,42,Marketing,Senior,PhD,Chicago IL,6,100696,Exceeds Expectations,4.9,4.9,0,,31,2,2015-03-14
EMP00203,47,Product,Senior,High School,Boston MA,11,88731,Meets Expectations,1.8,5.0,0,,59,5,2026-04-06
EMP00204,40,HR,Lead,Master,San Francisco CA,2,131835,Meets Expectations,4.2,3.7,0,,32,5,2023-01-20
EMP00205,49,Marketing,Director,High School,New York NY,12,152423,Outstanding,3.4,3.3,0,,68,4,2025-12-17
EMP00206,37,Sales,Junior,Master,Seattle WA,11,50450,Outstanding,1.2,4.9,0,,13,0,2015-01-19
EMP00207,36,Sales,Senior,Master,Austin TX,7,99607,Meets Expectations,2.9,3.7,0,,61,0,2011-08-29
EMP00208,27,Finance,Lead,Bachelor,Chicago IL,3,132240,Outstanding,1.6,2.2,0,,61,2,2011-09-22
EMP00209,50,Customer Success,Junior,Master,Boston MA,14,55450,Needs Improvement,1.2,3.8,1,Better Opportunity,21,5,2020-11-08
EMP00210,33,HR,Manager,Bachelor,San Francisco CA,5,130845,Outstanding,4.8,1.9,0,,55,3,2020-06-01
EMP00211,34,Engineering,Director,High School,Chicago IL,14,169405,Exceeds Expectations,1.0,1.9,0,,13,4,2019-09-10
EMP00212,42,Marketing,Senior,PhD,Chicago IL,6,99993,Exceeds Expectations,3.7,3.0,1,Career Growth,75,0,2021-10-02
EMP00213,51,Operations,Senior,Bachelor,New York NY,5,111664,Needs Improvement,4.2,4.7,0,,15,1,2020-05-01
EMP00214,33,Finance,Junior,PhD,San Francisco CA,11,67722,Outstanding,2.6,3.4,1,Career Growth,68,5,2017-12-18
EMP00215,32,Marketing,Manager,Master,Austin TX,15,129464,Needs Improvement,2.3,2.8,1,Career Growth,17,1,2024-05-14
EMP00216,54,Product,Manager,Bachelor,Austin TX,15,133406,Outstanding,2.7,4.4,0,,72,0,2020-09-05
EMP00217,24,HR,Senior,High School,Chicago IL,8,92367,Outstanding,1.7,2.8,0,,14,2,2019-06-12
EMP00218,24,Operations,Manager,Master,Austin TX,14,137902,Meets Expectations,2.7,3.9,0,,57,2,2024-07-17
EMP00219,27,Operations,VP,PhD,San Francisco CA,14,218353,Exceeds Expectations,4.1,1.9,0,,78,1,2012-02-11
EMP00220,35,HR,VP,Master,New York NY,1,208680,Exceeds Expectations,2.1,3.2,0,,73,2,2021-06-21
EMP00221,48,Sales,Mid,Bachelor,Boston MA,1,74087,Meets Expectations,1.5,4.5,0,,41,1,2011-11-10
EMP00222,31,Product,Lead,PhD,Chicago IL,8,125572,Needs Improvement,2.8,3.5,0,,35,5,2017-09-28
